FIPS,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,svi_e_totpop,svi_ep_pov150,svi_ep_unemp,svi_ep_nohsdp,svi_ep_uninsur,svi_ep_age65,svi_ep_limeng,svi_ep_minrty,svi_ep_munit,svi_ep_mobile,svi_ep_noveh,svi_ep_groupq
25009212102,0.2266,0.2586,0.5053,0.05,0.231,4867,9.1,3.5,5.0,1.5,20.6,2.1,5.6,0.0,2.1,1.0,0.5
25009213100,0.0245,0.0534,0.4363,0.1043,0.0119,8168,1.5,4.1,2.4,0.5,19.6,0.8,7.7,2.6,0.0,0.0,0.0
25009214100,0.322,0.2141,0.7615,0.2954,0.1984,6532,5.6,4.6,3.5,0.6,22.8,1.8,14.7,3.0,0.0,3.9,2.7
25009215101,0.1287,0.032,0.334,0.1587,0.3942,4689,7.1,0.9,1.4,0.1,22.7,0.2,9.5,6.8,0.0,3.0,3.6
25009215102,0.0226,0.1651,0.1117,0.0106,0.0452,2897,7.4,1.2,1.8,2.5,16.2,0.1,2.9,0.0,0.0,3.5,0.3
25009216100,0.0747,0.1444,0.1218,0.1855,0.2015,4933,9.3,2.6,0.8,1.2,13.4,0.6,10.5,0.4,0.0,3.7,26.1
25009217101,0.624,0.4771,0.7426,0.2386,0.715,4587,18.8,2.1,2.3,4.4,17.2,1.0,12.4,12.7,0.0,14.7,4.8
25009217102,0.5851,0.4859,0.7985,0.3791,0.4696,2896,7.3,3.8,2.3,5.1,20.7,2.8,18.4,40.1,0.0,18.9,0.4
25009217201,0.2304,0.2341,0.4419,0.0881,0.2963,4133,6.9,0.9,3.5,3.0,18.9,1.9,7.1,24.1,0.0,4.7,0.6
25009217202,0.0923,0.1544,0.3032,0.1674,0.1111,3501,8.3,2.4,4.1,1.0,24.7,1.0,9.9,3.9,0.0,4.8,0.0
25009217300,0.5524,0.6001,0.6491,0.6109,0.285,4921,25.0,6.7,5.1,1.4,12.0,2.4,32.6,22.3,0.0,8.7,0.2
25009217401,0.6648,0.5775,0.828,0.3254,0.6064,2503,30.3,0.0,2.9,2.8,24.2,4.1,16.0,35.9,0.0,22.6,1.8
25009217402,0.6817,0.6824,0.3911,0.4329,0.8104,3450,20.9,2.8,7.0,3.7,16.8,4.1,21.7,37.1,0.0,9.6,1.1
25009217500,0.4815,0.4702,0.2241,0.2536,0.7395,6590,12.3,5.7,2.0,1.5,14.6,1.0,13.0,9.6,0.0,17.6,5.3
25009217601,0.3735,0.3202,0.4752,0.2249,0.4281,4378,12.0,3.8,2.6,1.2,25.9,0.5,11.9,15.5,0.0,6.5,4.8
25009217602,0.0333,0.1073,0.0251,0.1649,0.371,5455,11.8,2.0,1.5,0.4,14.8,0.3,9.8,11.9,0.0,0.0,44.2
25009218100,0.0496,0.1896,0.285,0.0637,0.0308,5386,6.2,5.0,0.4,1.9,21.9,0.6,6.2,1.3,0.0,0.6,0.2
25009220101,0.3917,0.339,0.2517,0.0706,0.7087,3952,9.5,4.6,2.1,0.9,42.2,0.2,6.4,2.5,0.9,8.1,1.3
25009220102,0.3484,0.6315,0.4959,0.035,0.1061,3021,13.1,13.1,7.5,1.8,30.4,0.3,4.6,2.1,0.0,5.7,0.0
25009221100,0.2392,0.6359,0.2153,0.0381,0.081,3860,12.9,13.5,4.0,1.5,28.7,1.4,4.8,1.0,0.0,3.9,0.0
25009221300,0.2065,0.4557,0.1676,0.0106,0.2122,4613,6.8,6.5,0.8,3.5,36.5,0.0,2.9,3.1,0.0,4.6,0.5
25009221400,0.811,0.7878,0.7213,0.4422,0.8763,3889,38.5,3.6,10.2,3.3,11.9,11.0,22.3,5.0,0.7,9.8,0.9
