GEOID,tract_name,county,population,median_household_income,poverty_rate,renter_rate,no_vehicle_rate,multifamily_share,rent_burdened_share,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,public_ev_station_count,public_dc_fast_station_count,public_dc_fast_port_count,nearest_public_ev_station_miles,solar_proxy_municipality,municipal_solar_project_count,municipal_residential_solar_project_count,municipal_solar_capacity_dc_mw,doe_lead_join_status
25017352800,Census Tract 3528,Middlesex,1991.0,126652.0,0.0863887493721747,0.6815286624203821,0.3464968152866242,0.8179581795817958,0.3663551401869159,0.1977,0.2103,0.0804,0.7883,0.3327,6,0,0,0.053,CAMBRIDGE,881,803,10.190912,not_available
25025981600,Census Tract 9816,Suffolk,0.0,,,,,,,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0.79,BOSTON,4471,4197,71.531141,not_available
25025080801,Census Tract 808.01,Suffolk,4411.0,34773.0,0.3766666666666666,1.0,0.5585412667946257,0.8146473779385172,0.4961612284069098,0.9761,0.9692,0.7696,0.9313,0.9874,3,0,0,0.093,BOSTON,4471,4197,71.531141,not_available
25009210401,Census Tract 2104.01,Essex,3265.0,83479.0,0.1169984686064318,0.6168498168498169,0.0219780219780219,0.6934097421203438,0.4216152019002375,0.6905,0.6234,0.8657,0.7533,0.3804,0,0,0,0.748,PEABODY,31,26,1.313219,not_available
25009202103,Census Tract 2021.03,Essex,1547.0,77708.0,0.2217194570135746,0.196078431372549,0.0766488413547237,0.2601503759398496,0.5909090909090909,0.2254,0.6798,0.1802,0.0987,0.0389,3,0,0,0.204,SWAMPSCOTT,292,283,2.444699,not_available
25021442204,Census Tract 4422.04,Norfolk,4610.0,121522.0,0.0744257950530035,0.3586206896551724,0.0580459770114942,0.4693049213597158,0.3782051282051282,0.5022,0.6127,0.5662,0.2773,0.3283,0,0,0,0.405,FRANKLIN,627,585,25.62493899999999,not_available
25021415201,Census Tract 4152.01,Norfolk,3956.0,139353.0,0.0720697614773018,0.4846813725490196,0.196078431372549,0.3878676470588235,0.4766118836915297,0.6497,0.5932,0.7006,0.7608,0.4777,0,0,0,1.724,CANTON,481,430,27.71898699999999,not_available
25021400401,Census Tract 4004.01,Norfolk,3939.0,84928.0,0.1127189642041127,0.7858812529219261,0.474520804114072,0.9404499338332598,0.4455681142177275,0.6026,0.5223,0.4457,0.6515,0.6761,1,0,0,0.262,BROOKLINE,294,277,3.542596,not_available
25023980300,Census Tract 9803,Plymouth,2616.0,,0.0,1.0,0.0,0.625,1.0,0.1557,0.6246,0.0082,0.4585,0.2473,12,0,0,0.206,BRIDGEWATER,581,548,16.123117,not_available
25017339101,Census Tract 3391.01,Middlesex,3191.0,77386.0,0.1651433974156949,0.4352741661955907,0.2442057659694742,0.7778958554729012,0.3259740259740259,0.7451,0.5869,0.7489,0.7002,0.8016,2,0,0,0.142,MEDFORD,902,867,8.082967,not_available
